Geneid	SRR26327154
4194	7811
10446	11
23114	3
6900	20
388730	33
5929	462
25778	765
9911	19
81788	1015
55220	0
284576	0
93273	0
101669762	1
105371697	0
442891	0
100189098	0
5129	20
284578	0
148808	130
2005	2416
85414	105
64710	3137
8934	408
254428	655
148811	0
284581	0
115019	0
103021296	0
103021295	0
338382	0
1510	0
440712	6
553	1
729533	3
23380	229
9641	231
102466202	1
83593	7685
1939	615
8444	15
9261	5620
3586	3
29949	2
50604	1
11009	545
9214	1283
5284	2
83953	3
79098	34
5208	221
55432	915
725	2
722	0
1604	3525
1380	38
1378	299
1379	4
4179	1517
407026	8
407025	5
148696	306
947	4
105372883	0
5362	66
642587	0
406988	0
57172	78
3914	361
100422894	0
50486	1466
3290	6
80342	1104
148304	16
3664	29
27042	241
255928	0
574036	0
56256	0
105373474	0
55733	5
3756	0
55758	1007
7188	567
84791	5
343035	0
7779	62
4751	2
9926	888
102723727	3
25896	30
51514	18
100131205	23
100422947	0
101929541	4
5525	1078
692157	2
55248	103
29937	85
101929565	0
467	255
149647	3
55509	26
25936	413
128387	82
149643	0
642946	9
28982	216
79805	6
90806	663
26750	161
100505832	0
100861504	0
5629	4
105372911	0
56950	52
5784	8
1063	31
3776	0
101929612	0
51133	7
7399	0
102723833	0
2104	0
55105	162
128153	0
103752555	0
100885798	0
101929631	0
51018	135
728463	0
7042	9
103611157	0
643723	4
127018	70
102723886	0
55532	1
2058	1058
10380	48
55699	647
406997	0
406969	0
25782	1062
100302234	0
677818	0
6791	102
4139	1
79762	41
54996	7
64757	5
101929730	0
100873924	1
105373280	1
3142	56
400804	0
11221	1622
101929771	0
100189378	0
79802	6
9015	102
100506161	8
375056	2703
64853	240
148362	947
400823	2
84976	9
7100	2
55061	39
164127	0
388743	0
824	1182
7159	2276
105369195	13
441124	23
23219	644
8560	530
101927143	0
101927164	3
4931	360
100313769	1
29097	147
80232	6784
100616468	0
149111	11
127602	18
3930	1434
55740	2
6726	477
2052	242
9725	1432
10637	2
29920	258
102466270	0
7044	3
163859	1239
3020	321
64746	897
83881	0
286826	43
142	784
375057	11
3707	6266
100506443	128
5664	13
56997	800
105379282	75
8476	6
339500	60
100130093	38
65094	90
116841	167
105373289	8
339501	0
7483	0
100847072	0
101060022	3
89780	1
100506571	38
375	4974
100500810	3
79169	176
128308	178
2987	1437
57165	58
574432	13
200205	116
574407	5
84033	890
101927401	8
81559	898
102465444	0
51127	44
8290	1
92815	51
128312	25
100616308	0
149603	404
100129094	4
100169751	0
100169753	0
100169754	0
100169755	0
100169756	0
100169757	0
100169758	0
100169759	0
100169760	0
100169761	0
100169762	0
100169763	0
100169764	0
100169765	0
100169766	0
100169767	0
58480	54
574029	0
100169768	0
105373132	0
5867	162
10638	0
126731	275
58	1
55746	1014
101927478	2
23456	195
27097	373
9816	303
101927532	0
2590	378
79605	1
101927553	0
22796	302
183	0
